delivery_id,delivery_partner,package_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,predict_severity_label,vehicle_type,km_per_expected_hr,mode_urgency,schedule_risk,vehicle_load_strain,carrier_avg_schedule,weather_severity,weight_x_distance,cost_per_kg,delay_reason,llm_insights,email_template_name,email_content
16535.0,ecom express,electronics,express,north,clear,278.4,27.69,Short (1-2h),truck,39.21,3,0,1927.22,16.3949,0,7708.896,54.8783735156531,"express delivery, long distance (278 km), heavy package (27.7 kg)","This delay is driven by an extremely tight express schedule, with km_per_expected_hr=39.21 far above the partner’s carrier_avg_schedule=16.39, plus very high vehicle_load_strain=1927.22 from a 27.69kg load over 278.4km. Clear weather keeps schedule_risk at 0, so this looks like a planning-capacity miss rather than an external disruption.",Short,"Subject: Delivery Update -- Minor Delay for Order 16535

Dear Valued Customer,

A brief update on your order 16535: we anticipate a slight delay (estimated 1--2 hours) due to clear conditions in the north region. Your express shipment covering 278.4 km is on its way.

No action is needed on your part -- your delivery is expected to arrive shortly after the original window.

Track your order: https://track.example.com/16535

Best regards,
Customer Experience Team"
3775.0,dhl,groceries,express,east,stormy,247.7,29.77,Long (6+h),truck,40.61,3,12,1843.51,15.3714,4,7374.029,46.126883160361565,"stormy weather, express delivery, long distance (248 km), heavy package (29.8 kg)","Storm conditions push schedule_risk to 12 on an already aggressive express route with km_per_expected_hr=40.61, while vehicle_load_strain=1843.51 adds substantial route burden. The combination of high weather_severity=4 and a schedule running far above carrier_avg_schedule=15.37 explains the Long delay risk.",Long,"Subject: Urgent -- Significant Delay for Order 3775

Dear Valued Customer,

We regret to inform you that your order 3775 is experiencing a significant delay (estimated 6+ hours beyond the original delivery window). This is primarily due to stormy weather conditions affecting express deliveries in the east region over a distance of 247.7 km.

What we are doing:
- Your order has been escalated to our priority resolution team
- We are actively rerouting through the fastest available channel
- A dedicated support agent will follow up within 2 hours

As a gesture of goodwill, we will apply a delivery credit to your account. We sincerely apologize for the inconvenience and appreciate your patience.

Track your order: https://track.example.com/3775
Support: support@example.com | 1-800-DELIVERY

Best regards,
Customer Experience Team"
8841.0,ekart,clothing,express,east,stormy,250.3,31.07,Long (6+h),van,35.25,3,12,2592.27,16.5184,4,7776.821000000001,44.74526788578761,"stormy weather, express delivery, long distance (250 km), heavy package (31.1 kg)","This order stacks storm-driven schedule_risk=12 with very high vehicle_load_strain=2592.27 and a compressed pace of km_per_expected_hr=35.25 over 250.3km. Even with a van, the load-distance burden and weather_severity=4 create a strong case for a Long delay.",Long,"Subject: Urgent -- Significant Delay for Order 8841

Dear Valued Customer,

We regret to inform you that your order 8841 is experiencing a significant delay (estimated 6+ hours beyond the original delivery window). This is primarily due to stormy weather conditions affecting express deliveries in the east region over a distance of 250.3 km.

What we are doing:
- Your order has been escalated to our priority resolution team
- We are actively rerouting through the fastest available channel
- A dedicated support agent will follow up within 2 hours

As a gesture of goodwill, we will apply a delivery credit to your account. We sincerely apologize for the inconvenience and appreciate your patience.

Track your order: https://track.example.com/8841
Support: support@example.com | 1-800-DELIVERY

Best regards,
Customer Experience Team"
10792.0,dhl,automobile parts,express,south,cold,167.8,13.86,Short (1-2h),bike,32.9,3,3,2325.71,15.3714,1,2325.708,66.66045845272207,"express delivery, long distance (168 km)","A bike on a 167.8km express route is a clear vehicle mismatch, reflected in vehicle_load_strain=2325.71 despite only moderate weather pressure with schedule_risk=3. km_per_expected_hr=32.9 is also more than double the carrier_avg_schedule=15.37, so the delay comes from an over-ambitious route assignment more than weather.",Short,"Subject: Delivery Update -- Minor Delay for Order 10792

Dear Valued Customer,

A brief update on your order 10792: we anticipate a slight delay (estimated 1--2 hours) due to cold conditions in the south region. Your express shipment covering 167.8 km is on its way.

No action is needed on your part -- your delivery is expected to arrive shortly after the original window.

Track your order: https://track.example.com/10792

Best regards,
Customer Experience Team"
7305.0,ecom express,automobile parts,express,north,hot,168.9,4.58,Short (1-2h),ev bike,33.12,3,3,386.78,16.3949,1,773.562,194.06837606837607,"express delivery, long distance (169 km)","The main issue is schedule tightness: km_per_expected_hr=33.12 is very high for an EV bike over 168.9km and sits well above carrier_avg_schedule=16.39. vehicle_load_strain=386.78 is manageable, so this Short delay is more about an aggressive express promise with limited time buffer than load stress.",Short,"Subject: Delivery Update -- Minor Delay for Order 7305

Dear Valued Customer,

A brief update on your order 7305: we anticipate a slight delay (estimated 1--2 hours) due to hot conditions in the north region. Your express shipment covering 168.9 km is on its way.

No action is needed on your part -- your delivery is expected to arrive shortly after the original window.

Track your order: https://track.example.com/7305

Best regards,
Customer Experience Team"
23052.0,amazon logistics,groceries,same day,east,rainy,165.4,43.19,Short (1-2h),scooter,20.42,4,12,3571.81,15.0932,3,7143.626,24.40679140679141,"rainy weather, same day delivery, long distance (165 km), heavy package (43.2 kg)","A same-day promise in rain drives schedule_risk to 12, but the bigger operational problem is a scooter carrying 43.19kg over 165.4km, producing vehicle_load_strain=3571.81. That combination of urgency, weather_severity=3, and severe vehicle mismatch makes delay highly likely even before last-mile congestion.",Short,"Subject: Delivery Update -- Minor Delay for Order 23052

Dear Valued Customer,

A brief update on your order 23052: we anticipate a slight delay (estimated 1--2 hours) due to rainy conditions in the east region. Your same day shipment covering 165.4 km is on its way.

No action is needed on your part -- your delivery is expected to arrive shortly after the original window.

Track your order: https://track.example.com/23052

Best regards,
Customer Experience Team"
23679.0,xpressbees,automobile parts,express,east,stormy,275.8,33.47,Long (6+h),van,38.85,3,12,3077.01,16.7146,4,9231.026,45.55883229073578,"stormy weather, express delivery, long distance (276 km), heavy package (33.5 kg)","This row combines stormy express pressure with schedule_risk=12, km_per_expected_hr=38.85, and extreme vehicle_load_strain=3077.01 on a 275.8km route. The route is also far tighter than the partner baseline carrier_avg_schedule=16.71, which supports the Long delay classification.",Long,"Subject: Urgent -- Significant Delay for Order 23679

Dear Valued Customer,

We regret to inform you that your order 23679 is experiencing a significant delay (estimated 6+ hours beyond the original delivery window). This is primarily due to stormy weather conditions affecting express deliveries in the east region over a distance of 275.8 km.

What we are doing:
- Your order has been escalated to our priority resolution team
- We are actively rerouting through the fastest available channel
- A dedicated support agent will follow up within 2 hours

As a gesture of goodwill, we will apply a delivery credit to your account. We sincerely apologize for the inconvenience and appreciate your patience.

Track your order: https://track.example.com/23679
Support: support@example.com | 1-800-DELIVERY

Best regards,
Customer Experience Team"
7826.0,amazon logistics,pharmacy,express,east,clear,175.5,10.5,Short (1-2h),scooter,34.41,3,0,921.38,15.0932,0,1842.75,90.47169811320757,"express delivery, long distance (176 km)","Clear weather keeps schedule_risk at 0, but km_per_expected_hr=34.41 on a scooter over 175.5km is still highly compressed relative to carrier_avg_schedule=15.09. vehicle_load_strain=921.38 adds enough route burden that even without weather disruption the order slips into a Short delay.",Short,"Subject: Delivery Update -- Minor Delay for Order 7826

Dear Valued Customer,

A brief update on your order 7826: we anticipate a slight delay (estimated 1--2 hours) due to clear conditions in the east region. Your express shipment covering 175.5 km is on its way.

No action is needed on your part -- your delivery is expected to arrive shortly after the original window.

Track your order: https://track.example.com/7826

Best regards,
Customer Experience Team"
15240.0,amazon logistics,clothing,express,south,stormy,3.6,42.28,Medium (3-5h),truck,1.71,3,12,38.05,15.0932,4,152.208,4.538461538461538,"stormy weather, express delivery, heavy package (42.3 kg)","Despite the very short distance, storm conditions push schedule_risk to 12 and the package is unusually heavy, though vehicle_load_strain stays low at 38.05 because the route is only 3.6km. The Medium delay signal likely comes from weather_severity=4 plus handling friction, reinforced by very low cost_per_kg=4.54 that may indicate low service priority on a heavy shipment.",Medium,"Subject: Delivery Update -- Moderate Delay for Order 15240

Dear Valued Customer,

We would like to inform you that your order 15240 is experiencing a moderate delay (estimated 3--5 hours). Current stormy conditions are affecting express service in the south region (delivery distance: 3.6 km).

What we are doing:
- Our logistics team is monitoring your shipment closely
- Route optimization is being applied to minimize further delay

We expect your delivery to arrive within the revised window. We apologize for any inconvenience.

Track your order: https://track.example.com/15240
Support: support@example.com | 1-800-DELIVERY

Best regards,
Customer Experience Team"
21004.0,delhivery,electronics,same day,south,stormy,185.9,24.13,Short (1-2h),ev van,22.95,4,16,2242.88,14.5973,4,4485.767,45.47626908790755,"stormy weather, same day delivery, long distance (186 km), heavy package (24.1 kg)","This is a classic compounding-risk case: same-day urgency and stormy weather create the maximum schedule_risk=16, while vehicle_load_strain=2242.88 remains high over 185.9km. km_per_expected_hr=22.95 is not the most extreme in the sample, but the urgency-weather stack plus heavy route burden is enough to trigger delay.",Short,"Subject: Delivery Update -- Minor Delay for Order 21004

Dear Valued Customer,

A brief update on your order 21004: we anticipate a slight delay (estimated 1--2 hours) due to stormy conditions in the south region. Your same day shipment covering 185.9 km is on its way.

No action is needed on your part -- your delivery is expected to arrive shortly after the original window.

Track your order: https://track.example.com/21004

Best regards,
Customer Experience Team"
